prognosis,Doctor
Fungal infection,Dr Nisha KC
Allergy,Dr Krishna Sah
GERD,Dr Bhupendra Shah
Chronic cholestasis,Dr Rakesh Thapa
Drug Reaction,Dr Sudamshu Kc
Peptic ulcer diseae,Dr Rajendra Thapa
AIDS,Dr Aman Tamang
Diabetes ,Dr Subekshya KC
Gastroenteritis,Dr Milan Tamrakar
Bronchial Asthma,Dr Balaram Sapkota
Hypertension ,Dr Ankit Sapkota
Migraine,Dr Rohan Subedi
Cervical spondylosis,Dr Roshni Karki
Paralysis (brain hemorrhage),Dr Roman Shah
Jaundice,Dr Ritesh Kumar Yadav
Malaria,Dr Roshan Sapkota
Chicken pox,Dr Manju KC
Dengue,Dr Prem Bahadur Khadka
Typhoid,Dr Dipak Upreti
hepatitis A,Dr Niraj Shrestha
Hepatitis B,Dr Pawan Singh
Hepatitis C,Dr Kausal Subedi
Hepatitis D,Dr Abishek Yadav
Hepatitis E,Dr Sabhya Kc
Alcoholic hepatitis,Dr Surakshya Tamang
Tuberculosis,Dr Rina Magar
Common Cold,Dr Bikash Acharya
Pneumonia,Dr Asmita Kumari Thakur
Dimorphic hemmorhoids(piles),Dr Papila Siwakoti
Heart attack,Dr Sima Gautam
Varicose veins,Dr Sabina Rnabhat
Hypothyroidism,Dr Isha Khadka
Hyperthyroidism,Dr Ajay Giri
Hypoglycemia,Dr Anish Yadav
Osteoarthristis,Dr Atul Karn
Arthritis,Dr Sujata Magar
(vertigo) Paroymsal  Positional Vertigo,Dr Simran Shrestha
Acne,Dr Neeushma Joshi
Urinary tract infection,Dr Nitisha Karki
Psoriasis,Dr Preeti Rana
Impetigo,Dr Shreya Koirala
covid,Dr Bhupendra Sharma
